sale_price,year_sold,year_built,lot_area,basement_area,living_area,full_bath,half_bath,bedroom,garage_cars,garage_area,ac,zoning,neighborhood,quality,condition
244000,2010,1968,11160,2110,2110,2,1,3,2,522,Y,Residential_Low_Density,nb_07,good,average
189900,2010,1997,13830,928,1629,2,1,3,2,482,Y,Residential_Low_Density,nb_22,average,average
191500,2010,1992,5005,1280,1280,2,0,2,2,506,Y,Residential_Low_Density,nb_10,good,average
236500,2010,1995,5389,1595,1616,2,0,2,2,608,Y,Residential_Low_Density,nb_10,good,average
189000,2010,1999,7500,994,1804,2,1,3,2,442,Y,Residential_Low_Density,nb_22,good,average
175900,2010,1993,10000,763,1655,2,1,3,2,440,Y,Residential_Low_Density,nb_22,average,average
185000,2010,1992,7980,1168,1187,2,0,3,2,420,Y,Residential_Low_Density,nb_22,average,good
180400,2010,1998,8402,789,1465,2,1,3,2,393,Y,Residential_Low_Density,nb_22,average,average
171500,2010,1990,10176,1300,1341,1,1,2,2,506,Y,Residential_Low_Density,nb_22,good,average
212000,2010,1985,6820,1488,1502,1,1,1,2,528,Y,Residential_Low_Density,nb_10,good,average
164000,2010,1988,12134,559,1752,2,0,4,2,492,Y,Residential_Low_Density,nb_22,good,good
190000,2010,1977,11751,1844,1844,2,0,3,2,546,Y,Residential_Low_Density,nb_04,average,average
149000,2010,1970,11241,1004,1004,1,0,2,2,480,Y,Residential_Low_Density,nb_07,average,good
149900,2010,1971,12537,1078,1078,1,1,3,2,500,Y,Residential_Low_Density,nb_07,average,average
142000,2010,1968,8450,1056,1056,1,0,3,1,304,Y,Residential_Low_Density,nb_07,average,average
115000,2010,1971,10500,864,864,1,0,3,0,0,Y,Residential_Low_Density,nb_07,average,average
96000,2010,1971,1680,483,987,1,1,2,1,264,Y,Residential_Medium_Density,nb_09,average,average
105500,2010,1971,1680,525,1092,1,1,3,1,320,Y,Residential_Medium_Density,nb_09,average,average
127500,2010,1977,4043,1069,1069,2,0,2,2,440,Y,Residential_Low_Density,nb_18,average,average
149900,2010,1975,2280,855,1456,2,1,3,2,440,Y,Residential_Low_Density,nb_18,average,average
120000,2010,1975,2280,836,836,1,0,2,1,308,Y,Residential_Low_Density,nb_18,good,average
146000,2010,1978,2280,855,1456,2,1,3,2,440,Y,Residential_Low_Density,nb_18,average,average
306000,2010,2007,11478,1704,1704,2,0,3,3,772,Y,Residential_Low_Density,nb_03,good,average
275000,2010,2005,11520,1698,1698,2,0,3,3,730,Y,Residential_Low_Density,nb_03,excellent,average
259000,2010,2005,14122,1822,1822,2,0,3,3,678,Y,Residential_Low_Density,nb_03,good,average
214000,2010,2004,10171,1517,1535,2,0,3,2,532,Y,Residential_Low_Density,nb_03,good,average
500000,2010,2003,14300,2846,2696,2,1,3,3,958,Y,Residential_Low_Density,nb_03,excellent,average
175500,2010,2003,2628,764,1626,2,1,2,2,474,Y,Residential_Low_Density,nb_03,good,average
199500,2010,2005,18494,1324,1324,2,0,3,2,430,Y,Residential_Low_Density,nb_22,average,average
192000,2010,2004,3182,1256,1269,2,0,2,2,430,Y,Residential_Low_Density,nb_14,good,average
216500,2010,2002,7851,860,1960,2,1,4,2,440,Y,Residential_Low_Density,nb_22,average,average
180000,2010,2000,7750,384,1430,2,1,3,2,400,Y,Residential_Low_Density,nb_22,good,average
333168,2010,1999,14774,1393,2599,2,1,4,3,779,Y,Residential_Low_Density,nb_19,excellent,average
355000,2010,1998,17433,1629,2475,2,1,4,3,962,Y,Residential_Low_Density,nb_19,good,average
260400,2010,1996,10593,1720,1720,2,0,3,2,527,Y,Residential_Low_Density,nb_19,good,average
325000,2010,1994,12256,1463,2622,2,1,3,2,712,Y,Residential_Low_Density,nb_19,good,average
221000,2010,1998,16770,1195,1839,2,1,4,2,486,Y,Residential_Low_Density,nb_19,good,average
181000,2010,2004,11920,831,1659,2,1,3,2,484,Y,Residential_Low_Density,nb_24,good,average
205000,2010,1994,8880,948,2110,2,1,3,2,463,Y,Residential_Low_Density,nb_24,good,average
143000,2010,1980,8012,923,923,2,0,2,1,264,Y,Residential_Low_Density,nb_24,average,average
189000,2010,1992,11218,1055,1845,2,1,3,2,462,Y,Residential_Low_Density,nb_24,average,average
99500,2010,1979,7892,918,918,2,0,2,1,264,Y,Residential_Low_Density,nb_24,average,average
171000,2010,1980,8400,650,1564,2,1,3,2,476,Y,Residential_Low_Density,nb_24,average,average
67500,2010,1920,9800,816,1012,1,0,2,1,429,N,Residential_High_Density,nb_24,average,average
112000,2010,1978,8930,0,1902,2,0,4,2,539,Y,Residential_Medium_Density,nb_17,average,average
148000,2010,1961,11782,1109,1155,1,0,3,2,576,Y,Residential_Low_Density,nb_17,average,good
138500,2010,1965,8450,894,894,1,0,3,1,336,Y,Residential_Low_Density,nb_17,average,good
122000,2010,1967,9819,882,900,1,0,3,1,280,Y,Residential_Low_Density,nb_17,average,average
133000,2010,1963,7500,1040,1040,1,1,3,1,308,Y,Residential_Low_Density,nb_17,average,average
127000,2010,1962,6897,1040,1040,1,1,3,1,260,Y,Residential_Low_Density,nb_17,average,good
285000,2010,1992,11134,1390,2225,2,1,4,3,713,Y,Residential_Low_Density,nb_19,good,average
130500,2010,1976,13517,725,1479,2,1,3,2,475,Y,Residential_Low_Density,nb_17,average,good
212500,2010,1978,18837,1224,1891,3,0,3,2,678,Y,Residential_Low_Density,nb_04,average,average
171000,2010,1971,9600,715,1645,1,2,4,2,441,Y,Residential_Low_Density,nb_04,average,average
142250,2010,1966,9600,1232,1232,1,1,3,2,490,Y,Residential_Low_Density,nb_07,average,average
159000,2010,1966,9900,1209,1209,1,0,3,2,504,Y,Residential_Low_Density,nb_07,average,average
178900,2010,1967,9680,1510,1510,2,0,3,2,517,Y,Residential_Low_Density,nb_07,average,average
180500,2010,1964,14112,1152,1152,1,0,3,2,484,Y,Residential_Low_Density,nb_07,average,good
142125,2010,1950,9717,1078,1078,1,0,2,1,240,Y,Residential_Low_Density,nb_07,average,average
197600,2010,1952,9724,1140,2461,2,0,3,2,400,Y,Residential_Low_Density,nb_07,average,good
172500,2010,1949,17360,782,1556,2,0,3,2,470,Y,Residential_Low_Density,nb_07,average,average
128000,2010,1954,9920,1056,1063,1,0,3,1,280,Y,Residential_Low_Density,nb_07,average,average
153000,2010,1955,9600,1156,1520,1,0,3,1,364,Y,Residential_Low_Density,nb_07,average,average
132000,2010,1954,7800,1268,1268,1,0,2,1,244,Y,Residential_Low_Density,nb_07,average,average
154300,2010,1960,11600,1105,2274,2,0,5,2,480,Y,Residential_Low_Density,nb_07,average,average
180000,2010,1970,19900,1947,2207,2,0,3,2,576,Y,Residential_Low_Density,nb_07,good,average
190000,2010,1966,16492,1517,1888,2,1,2,2,578,Y,Residential_Low_Density,nb_07,average,average
135000,2010,1958,8267,1604,1604,2,0,4,2,576,Y,Residential_Low_Density,nb_07,average,average
214000,2010,2003,8197,1480,1480,2,0,3,2,620,Y,Residential_Low_Density,nb_07,good,average
136000,2010,1959,8050,1143,1143,1,0,3,1,308,Y,Residential_Low_Density,nb_07,average,average
165500,2010,1959,10552,1398,1700,1,1,4,2,447,Y,Residential_Low_Density,nb_07,average,average
145000,2010,1957,8400,1314,1314,1,0,3,1,294,Y,Residential_Low_Density,nb_07,average,average
148000,2010,1959,8760,1194,1194,1,0,3,1,312,Y,Residential_Low_Density,nb_07,average,average
167500,2010,1960,9300,1268,1264,1,0,3,2,461,Y,Residential_Low_Density,nb_07,average,average
108538,2010,1959,10725,1206,1206,1,0,3,1,312,Y,Residential_Low_Density,nb_07,average,average
108000,2010,1956,8382,832,1337,1,0,3,1,263,Y,Residential_Low_Density,nb_07,average,average
135000,2010,1952,10950,864,1064,1,0,2,1,318,Y,Residential_Low_Density,nb_07,average,good
122500,2010,1955,10895,972,972,1,0,3,1,305,Y,Residential_Low_Density,nb_07,average,average
105000,2010,1920,7898,576,985,1,0,2,2,676,Y,Residential_Low_Density,nb_07,average,good
162000,2010,1959,9830,1063,1287,1,0,3,2,576,Y,Residential_Low_Density,nb_07,average,good
242000,2010,1967,11275,710,2978,2,1,5,2,564,Y,Residential_Low_Density,nb_07,good,good
154000,2010,1959,7500,1246,1246,1,1,3,1,305,Y,Residential_Low_Density,nb_07,average,good
134800,2010,1951,7200,900,900,1,0,3,2,576,Y,Residential_Low_Density,nb_07,average,good
160000,2010,1962,10000,1116,1116,1,1,3,2,440,Y,Residential_Low_Density,nb_07,average,average
148000,2010,1960,7635,1175,1175,1,1,3,2,484,Y,Residential_Low_Density,nb_07,average,average
192000,2010,1963,9760,1395,1395,1,0,2,2,440,Y,Residential_Low_Density,nb_07,average,good
155000,2010,1966,7700,756,1839,1,1,4,2,442,Y,Residential_Low_Density,nb_07,average,average
